"WT.GSM130365","WT.GSM130366","WT.GSM130367","KO.GSM130368","KO.GSM130369","KO.GSM130370"
3861.1,4302.9,3714.6,5504.8,5240.2,5047.1
411.3,410.3,372.3,1524.6,1630.8,1625.7
1476.6,1584.4,1425,2320.3,2290.8,2107.4
1442.7,1712.5,1638.5,2701.8,2901.5,3073.4
571.1,587.7,440.7,809.9,793.5,896.9
374.5,378.4,386.9,169.4,206.7,182.9
292.4,392.2,464.4,902.1,878.3,937.8
738.2,673.6,829.6,375.4,444.7,459.4
1127.7,1110.8,945.1,2399.5,1931.5,2019
391.5,356.1,373.4,883.1,892.8,787.2
2340.7,2588.1,2246.5,4911,4864.9,4911.5
259.8,295.2,233.4,88.7,82.9,105.2
1478.5,1669.5,1648.6,2677.4,2724,2293
2368.7,2081.1,2348.6,1567.3,1272.6,1357
1774.6,1785.6,1774.8,2175.3,2193.5,2152
4694.3,4692.4,4665.9,3281,3275.7,3510.9
508.2,576.6,520.2,1940.6,1918,1971.4
4791.2,4912.9,4719,2395.4,2246.6,2346.7
545,565,667.9,1594.3,1655.3,1564.8
4101.6,4403.2,4986.7,6906.5,6370.5,6303.1
822.5,882.7,997.5,1456.1,1274,1319.3
2316.8,2181.9,2309.1,1704.7,1541.2,1643.2
2212.7,2156.5,1992.3,1749.4,1599.8,1606.9
335.6,362.3,312.4,432.7,482.4,476.2
508.7,538.4,507.5,268.7,348.5,326.7
460.5,371,406.5,826.3,822.5,945.4
815,962.5,911.1,1455.4,1416.7,1369.3
572.7,496.2,590,799.9,758,809.8
3389,3991.5,3743.2,5313.3,4958.3,5112.8
549.6,483.6,476.4,1288.9,1307.6,1402.1
375,510.2,420.3,879.1,812.1,927.7
231.5,160.6,139.6,407.6,477.2,351.7
171.9,217.7,194.7,321.5,288.9,332.8
1329.6,1244.2,1369.6,2779.5,2428.3,2872.4
314.8,357.7,263.9,907.8,883.4,893.7
226.4,207.8,97.8,1058,831.3,1037.8
1199.8,1329.8,1379.3,1553.9,1648.9,1717
5638.3,6627.6,6072.6,7880.4,7810.3,8343.9
1707.4,1655.6,2005.1,3497.6,3338,3349.6
1292.5,1256.8,1508,2881.1,3056.4,2765.4
803.5,921.6,828.2,1136.3,1096.9,1051.4
1542.4,1452.1,1259.1,793,719.2,646.2
813.9,746.7,774.8,603.7,649.3,663.7
9664.6,9851.9,9005.8,13564,12488.5,12717.2
1231.9,1262.7,1372.3,2924.6,2612.1,2577.6
2048.4,2106.8,2212.3,1816.5,1889.5,1765.1
609.3,625.9,577,460.2,508,511.9
9372.4,9536,9474.8,4373.4,4013.7,4481.9
79,37.9,93.3,176,239,244.9
2338.3,2829.8,2630.6,1660.7,1638.7,1342.2
1608.6,1589.7,1304.6,3147.1,3517.8,3410.6
14.4,28.8,11.4,94.5,84.1,85.9
588.6,614.6,715.1,393.6,292.7,318.6
1236.9,1442.7,1207.2,1886.2,1861.4,1776.8
368.4,452.8,388.2,629,695.8,696.8
16592.1,16854.1,18252.4,12955.4,12471.9,13745.6
27125.9,25833.2,28080.1,8566.7,7967.2,8229.7
1368.2,1391.6,1491.6,1680.3,1770.7,1749.4
92.3,92.8,102,19.5,17.5,26.1
3883.7,3754,4101,925.1,738.6,719.9
783.8,818.8,774.5,1742.8,1602.5,1720.1
260.1,241.5,221.8,148.6,163.2,173.3
32.3,37.2,34.5,20.6,19.4,17.5
397.9,385,369.8,328.9,304.3,316.9
953,967.2,984.4,1191.8,1277.2,1188.3
27.4,33.5,14.5,102.1,97.8,128.7
2219.1,2045.4,1884.1,1228.4,1072.8,1431.5
1029.7,939.1,880,639.6,540.6,577.7
758.8,708.1,663.4,403,362.4,459.3
2490.2,2703.3,2545.5,3127.4,3264.3,3031.2
2656.1,2960.5,2638.2,1674.7,1738.3,1886.8
737.6,693.3,732.4,380.1,471.1,386.3
4615.5,4746.7,4478.5,5415.3,5429.3,5389.6
1834.2,1855.6,2001,1250,1480.1,1463.8
138.3,160.2,177.5,71.3,72.3,91.5
181,199.7,214.4,263.7,297.9,296.7
1262,1211.6,1253.8,884.1,933.4,1012.9
255.3,281.7,279.9,674.2,639.5,782.8
120,163.1,184.3,358.7,390.1,332.3
5047,5128.4,4845.7,4164.3,4191,4446.7
458.3,643.3,619.8,1343.4,1204.7,1034.2
2139.3,1411.3,1790.3,3530.1,3848.9,3946.2
11282.6,11232.3,11213.2,8193.4,7331.3,8190.5
390.4,304.3,453.7,712.4,776.4,664.2
290.7,301.7,329,432.5,438.9,433.3
119.7,94.7,108.1,274.6,224.5,248.2
391.5,452.1,349.6,679,664.8,731
493.5,614.3,387,1395.8,1673.5,1648.8
695.4,697,754.9,937.1,890,969
